Licensee Name,DBA,License Number,License Type,Street Address,City,State,Zip,Latitude,Longitude
"VI OPCO, LLC",VILLAGE INN,03-19354,Hotel & Restaurant (county,23 CENTENNIAL BOULEVARD,Highlands Ranch,CO,80129,39.56274698,-104.98754197
SOUTH SUBURBAN PARK & RECREATION DIST,LONE TREE COUNTRY CLUB,10-73728-0000,Hotel & Restaurant / Optional (city,9808 SOUTH SUNNINGDALE BOULEVARD,Lone Tree,CO,801243124,39.53868199,-104.896583988
CELIA WELCH WINES LLC,CORRA WINES,15-78215-0000,Winery Direct Shipper's Permit,26 VINEYARD VIEW DR,Napa,CA,945589687,38.38448998,-122.365541999
SM BROTHERS LLC TWO,VERNS LIQUORS,03-15181,Delivery Permit,7605 WEST 44TH AVENUE UNIT A,Wheat Ridge,CO,80033,39.77717601,-105.082947977
NATURAL SELECTIONS 357 LLC,THE CRANE ASSEMBLY,03-10599,Winery Direct Shipper's Permit,1240 HOLM ROAD SUITE B,Petaluma,CA,94954,38.26804599,-122.663459984
AMIE MOUNTAIN LODGE LLC,INN AT ARROWHEAD,03-01981,Hotel & Restaurant (county,21401 ALPINE PLATEAU,Cimarron,CO,81220,38.34799899,-107.363872038
PARK THEATER MALL LLC,HISTORIC PARK THEATRE & CAFE,03-08458,Lodging & Entertainment (City,130 MORAINE AVENUE,Estes Park,CO,80517,40.375481,-105.523350018
Coyote Hole Ciderworks,Coyote Hole Ciderworks,03-17986,Winery Direct Shipper's Permit,225 Oak Grove Drive,Mineral,VA,23117,38.08576,-77.854139962
SAFFRON - INDIAN FUSION FLAIR,SAFFRON - INDIAN FUSION FAIR,03-20387,Hotel & Restaurant (county,8361 NORTH RAMPART RANGE ROAD UNIT B101,Littleton,CO,80125,39.484431,-105.075098996
AT EASE PUB & GRUB LLC,AT EASE PUB & GRUB,03-12387,Tavern (city,275 EAST 1ST STREET,Akron,CO,80720,40.1592173,-103.210371069
"MURPHY OIL USA, INC.",MURPHY EXPRESS,04-00264,Fermented Malt Beverage and Wine (city,2346 S HWY 287,Lafayette,CO,80026,39.974073,-105.089317972
FATEH HOLDINGS INC & 7-ELEVEN STORES INC,7-ELEVEN STORE #39062B,04-01875,Fermented Malt Beverage and Wine (city,3190 WEST 38TH AVENUE,Denver,CO,80211,39.76905399,-105.029647036
TIAN & LIU LLC,BRASS MONKEY WINE & SPIRITS,03-09427,Retail Liquor Store (city,1387 EAST SOUTH BOULDER ROAD UNIT A,Louisville,CO,80027,39.987383,-105.123456039
WENG'S INC,FIRST DRAGON CHINESE RESTAURANT,03-12269,Beer & Wine (city,126 NORTH INTEROCEAN AVENUE,Holyoke,CO,80734,40.586166,-102.302632976
C2H FRIENDS LTD,TOKKI,03-16851,Tavern (city,182 EAST CHEYENNE MOUNTAIN BLVD,Colorado Springs,CO,80906,38.790445,-104.823777017
LUCKY FINS HIGHLANDS RANCH LLC,SMOKIN FINS,03-09728,Hotel & Restaurant (county,"1104 CORPORAL MAX DONAHUE LANE, SUITE 102",Highlands Ranch,CO,80129,39.5451021,-104.9991803
UNIVERSITY OF COLORADO - COLLEGE OF MUSIC,MACKY AUDITORIUM CONCERT HALL,03-01290,Beer & Wine (city,BOULDER CAMPUS: 1595 PLEASANT STREET #104 - 285 UCB,Boulder,CO,80309,40.00997202,-105.272759025
CAMBRIDGE TRS INC,SONESTA ES SUITES COLORADO SPRINGS,03-05463,Hotel & Restaurant (city,3880 NORTH ACADEMY BOULEVARD,Colorado Springs,CO,80917,38.88701098,-104.758352993
7-ELEVEN INC,7-ELEVEN STORE 35606J,04-01653,Fermented Malt Beverage and Wine (city,5785 WARD ROAD,Arvada,CO,80002,39.80151899,-105.138437015
KERWIN ESTATE LLC,EISELE VINEYARDS ESTATE,03-02121,Winery Direct Shipper's Permit,2155 PICKETT ROAD,Calistoga,CA,94515,38.58493599,-122.55378496
PRABJASH LLC,EVERYDAY 5710,04-01699,Fermented Malt Beverage and Wine (city,1025 13TH STREET,Greeley,CO,80631,40.41876598,-104.695811004
APPLE SEVEN SERVICES HIGHLANDS RANCH INC,RESIDENCE INN HIGHLANDS RANCH,26-74000-0000,Tavern (county,93 CENTENNIAL BLVD,Highlands Ranch,CO,801262323,39.56136501,-104.99183099
300 SUNS CO,300 SUNS BREWING,03-05166,Brew Pub (city,335 1ST AVENUE  UNIT C,Longmont,CO,80501,40.15991601,-105.101240978
GAS LIGHT INC,WILLIES SOUTH,42-25575-0000,Tavern (city,1865 NORTH CIRCLE DRIVE,Colorado Springs,CO,80909,38.85864599,-104.774445996
BACON RESTAURANT DENVER LLC,BACON SOCIAL HOUSE,03-14520,Hotel & Restaurant (city,2160 SOUTH BROADWAY,Denver,CO,80210,39.67727399,-104.987050958
MINI MART INC,LOAF N JUG #85,03-27943-0110,Fermented Malt Beverage and Wine(county,136 S PURCELL BLVD,Pueblo West,CO,810075080,38.321481,-104.702127019
MARIGOLD LYONS LLC,MARIGOLD LYONS LLC,03-16782,Hotel & Restaurant (city,405 MAIN STREET UNIT B,Lyons,CO,80540,40.22436299,-105.270230037
WALMART INC.,WALMART #1058,09-49518-0017,Fermented Malt Beverage and Wine (city,16750 SOUTH TOWNSEND,Montrose,CO,814015410,38.449064,-107.863454003
ATREVIDA BEER COMPANY INC,ATREVIDA BEER COMPANY,03-09539,Wholesale Beer (malt liquor,"204 MOUNT VIEW LANE #3, #4, #5",Colorado Springs,CO,80907,38.890221,-104.818043963
CST METRO LLC,CIRCLE K #2741127,21-79919-0257,Fermented Malt Beverage and Wine (city,14705 E ARAPAHOE RD,Aurora,CO,80016,39.59572277,-104.817606008
"GRAND RIVER HOTEL, INC.",GRAND RIVER HOTEL,03-09916,Beer & Wine (city,221 GRAND VALLEY WAY,Parachute,CO,81635,39.451721,-108.045308026
RUMOR DESIGN & REDESIGN LLC,RD HOME,03-15018,Takeout & Delivery Permit,912 LINCOLN AVENUE,Steamboat Springs,CO,80487,40.48719701,-106.835856981
APRO LLC,ROCKET #6552,04-00369,Fermented Malt Beverage and Wine (city,12851 WEST 32ND AVENUE,Wheat Ridge,CO,80401,39.76231201,-105.14424098
HIGH ALPINE BREWING COMPANY LLC,HIGH ALPINE BREWING COMPANY,03-04741,Brew Pub (city,111 N MAIN ST,Gunnison,CO,81230,38.54475499,-106.927289966
PAUL HOBBS WINERY INC,PAUL HOBBS WINERY INC,14-51762-0000,Winery Direct Shipper's Permit,3355 GRAVENSTEIN HWY N,Sebastopol,CA,95472,38.44027,-122.855734975
TARGET CORPORATION,TARGET STORE T-2021,01-52854-0049,Fermented Malt Beverage and Wine (city,5071 KIPLING STREET,ARVADA,CO,800022251,39.78823602,-105.113038004
"A NICA & FAMILY, LLC",HUGO'S,03-13841,Hotel & Restaurant (city,1605 GRAND AVENUE,Glenwood Springs,CO,81601,39.536763,-107.326760994
GREENVIOLET CORPORATION,SOUTHSIDE PIZZERIA,03-19180,Hotel & Restaurant (county,7403 WEST CHATFIELD AVENUE SUITE B,Littleton,CO,80128,39.56733301,-105.080461989
RESONANCE WINES LLC,RESONANCE WINES,03-10600,Winery Direct Shipper's Permit,12050 NW MEADOWLAKE ROAD,Carlton,OR,97111,45.30251301,-123.240471037
DILLON COMPANIES LLC,CITY MARKET #13,01-10779-0129,Fermented Malt Beverage and Wine (city,135 S PLUM,Fruita,CO,815212524,39.15775601,-108.735227002
"COLORADO CRAFT SOCIAL, LLC",COLORADO CRAFT,03-17198,Hotel & Restaurant (city,15 SOUTH TEJON STREET,Colorado Springs,CO,80903,38.83327301,-104.823224984
ALPHA & OMEGA WINERYLLC,ALPHA & OMEGA WINERY LLC,26-70787-0000,Winery Direct Shipper's Permit,1155 MEE LANE,Rutherford,CA,94573,38.47062598,-122.429213031
A&L COORS INC,A&L COORS INC,13-05162-0004,Wholesale Beer (malt liquor,131 ROCK POINT DR,Durango,CO,81301,37.27235502,-107.891066004
BLEND'EM GOLD LLC,BLEND'EM GOLD LLC,03-19560,Wholesale (vinous & spirituous,3787 RONALD REAGAN BOULEVARD UNIT 3,Johnstown,CO,80534,40.40365505,-104.963791859
,COSTERE EL VERDADERO SABOR,03-18568,Takeout & Delivery Permit,13701 WEST JEWELL AVENUE SUITE 103,LAKEWOOD,CO,80228,39.68271498,-105.155799037
MILO INC,DOUG'S DINER,03-09305,Hotel & Restaurant (city,801 9TH STREET,Greeley,CO,80631,40.42421502,-104.691180002
ALBERTSONS LLC,SAFEWAY STORE #881,26-66709-0039,Fermented Malt Beverage and Wine (city,500 E 120TH AVE,Northglenn,CO,802331143,39.91229401,-104.98094097
HARMELS OPERATIONS LLC,HARMELS RANCH RESORT,04-01630,Fermented Malt Beverage and Wine(county,6748 COUNTY ROAD 744,Almont,CO,81210,38.7360386,-106.770818852
ARAMARK SPORTS AND ENTERTAINMENT SRVCS,RED ROCKS TRADING POST,15-61301-0000,Hotel & Restaurant (county,17900 TRADING POST RD,Morrison,CO,80465,39.66394199,-105.203046987
SUTTER HOME WINERY INC,SUTTER HOME WINERY INC,80-52615-0001,Importer (vinous & spirituous,100 ST HELENA HWY S,Saint Helena,CA,945742204,38.49417201,-122.453272027
PREMIER RESTAURANT GROUP INC,MOUNTAINVIEW AT THE MEADOWS,24-49343-0002,Hotel & Restaurant / Optional (county,7007 MEADOWS GOLF CLUB DR,Littleton,CO,80127,39.591232,-105.130973014
CITY OF ASPEN AND BAR WEST GROUP LLC,WHEELER OPERA HOUSE,03-19616,Tavern (city,320 EAST HYMAN AVENUE,Aspen,CO,81611,39.18926564,-106.82003463
OLD CHICAGO TAPROOM II LLC,OLD CHICAGO #11,03-13956,Hotel & Restaurant (city,3550 SOUTH WADSWORTH BOULEVARD,Lakewood,CO,80235,39.65062202,-105.080657036
Success Foods Management Group LLC,TORCHY'S TACOS,03-05308,Takeout & Delivery Permit,1085 BROADWAY,Denver,CO,80203,39.73348999,-104.987813963
VINA ROBLES INC,VINA ROBLES,26-62647-0000,Winery Direct Shipper's Permit,1200 PRISKA DRIVE,Paso Robles,CA,93446,35.63410299,-120.637577959
ROCKY TOP TAVERN LLC,ROCKY TOP TAVERN,03-02655,Tavern (city,4907 LOWELL BLVD,Denver,CO,80221,39.78579198,-105.03496703
,PARRY'S PIZZERIA & TAPHOUSE,03-12408,Takeout & Delivery Permit,"1268 INTERQUEST PARKWAY, SUITE 100",Colorado Springs,CO,80921,38.991637,-104.804925027
ALBERTSONS LLC,SAFEWAY STORE #2812,26-66709-0006,Fermented Malt Beverage and Wine (city,910 W CHERRY AVE,Louisville,CO,80027,39.963712,-105.160115969
DREW'S PIZZA LLC,OBLIO'S PIZZERIA,03-18781,Tavern (city,6115 EAST 22ND AVENUE,Denver,CO,80207,39.74956502,-104.917204978
PDS STORES INC,PDS STORES INC,24-57436-0000,Fermented Malt Beverage and Wine (city,14490 E 6TH AVE,Aurora,CO,800118708,39.72518051,-104.820027959
BLACK CAT VINEYARD LLC,BLACK CAT VINEYARD,03-08585,Winery Direct Shipper's Permit,194 CAMINO ORUGA SUITE 17-20,Napa,CA,94558,38.22766801,-122.253414012
G & S SERVICES CO,BEAR VALLEY MARKET,22-37577-0022,Fermented Malt Beverage and Wine (city,3097 S SHERIDAN BLVD,Denver,CO,802274150,39.65649899,-105.053624979
"CHOICE CITY DRUG, INC",CITY DRUG,03-03754,Liquor Licensed Drug Store (city,209 NORTH COLLEGE AVE,Fort Collins,CO,80524,40.589316,-105.077495968
"CASA TEQUILA, LLC",TEQUILA'S,03-10403,Hotel & Restaurant (county,64 EL JEBEL ROAD,El Jebel,CO,81623,39.39475302,-107.089490018
SUMMIT HARD CIDER AND PERRY COMPANY LLC,SCRUMPY'S,03-01322,Takeout & Delivery Permit,215 NORTH COLLEGE AVE  UNIT A,Fort Collins,CO,80524,40.589488,-105.077494963
ROARING FORK RESTAURANTS INC,CHEDDARS CASUAL CAFE,42-72098-0001,Hotel & Restaurant (city,15775 E BRIARWOOD CIR,Aurora,CO,800161562,39.59424056,-104.804156742
MFF LTD,SOUL SQUARED BREWING COMPANY,03-20573,Wholesale Beer (malt liquor,815 14TH STREET SW UNIT C245,Loveland,CO,80537,40.37978502,-105.091484024
"INVESTOR GROUP GRANDOTE, LLC",GRANDOTE PEAKS,04-01717,Fermented Malt Beverage On/Off (city,1 GRANDOTE DRIVE,La Veta,CO,81055,37.49688393,-105.009983802
COMIDA AT THE STANLEY MARKETPLACE LLC,COMIDA AT THE STANLEY,03-06703,Hotel & Restaurant (city,2501 DALLAS STREET #140,Aurora,CO,80010,39.75311174,-104.877455898
K STORES 5 INC & 7 ELEVEN INC,7 ELEVEN STORE 15955A,04-00262,Fermented Malt Beverage and Wine (city,620 EDISON STREET,Brush,CO,80723,40.25497702,-103.626872005
M&L ENTERPRISES LLC,LONE CONE SALOON,03-13797,Sidewalk Service Area,1580 GRAND AVENUE,Norwood,CO,81423,38.13053802,-108.290156996
PICKUPS PIZZA EDWARDS LLC,BELMONT DELI,03-11571,Takeout & Delivery Permit,105 EDWARDS VILLAGE BLVD UNIT# C107 & C108,Edwards,CO,81632,39.644658,-106.596130024
CIRCLE K STORES INC,CIRCLE K STORE #2709837,21-65089-0087,Fermented Malt Beverage and Wine (city,5885 CONSTITUTION AVE,Colorado Springs,CO,80915,38.87155299,-104.718377015
PETER FRANUS WINE COMPANY INC,PETER FRANUS WINE COMPANY,06-34941-0000,Winery Direct Shipper's Permit,5055 SOLANO AVE,Napa,CA,94558,38.35382999,-122.335173023
DILLON COMPANIES LLC,KING SOOPERS DIV NO 9,01-10779-0062,Fermented Malt Beverage and Wine (city,1015 SOUTH TAFT HILL ROAD,Fort Collins,CO,805214240,40.573812,-105.116731993
HOLMAN RANCH,HOLMAN RANCH,03-09094,Winery Direct Shipper's Permit,60 HOLMAN ROAD,Carmel Valley,CA,93924,36.48138101,-121.715702015
FORTY EIGHT FIFTY FIVE FEDERAL INC,MCCOYS RESTAURANT,21-81410-0000,Hotel & Restaurant (city,4855 N FEDERAL BLVD,Denver,CO,80221,39.78488699,-105.025779039
FALCOR WINE CELLARS LLC,FALCOR WINE CELLARS LLC,03-10683,Winery Direct Shipper's Permit,2511 NAPA VALLEY CORP DRIVE,Napa,CA,94558,38.25571801,-122.276329967
DILLON COMPANIES LLC,CITY MARKET #16,01-10779-0132,Fermented Malt Beverage and Wine (city,711 E COOPER ST,Aspen,CO,816112013,39.1872083,-106.815788023
SURLY BREWING COMPANY,SURLY BREWING CO,03-08575,Nonresident Manufacturer (malt liquor,4811 DUSHARME DRIVE,Minneapolis,MN,55429,45.04296201,-93.324395024
THUNDER MOUNTAINENTERTAINMENT INC,KELLY O'BRIANS,40-75243-0000,Hotel & Restaurant (city,239 N ACADEMY BLVD,Colorado Springs,CO,80909,38.83692001,-104.756707961
VISTANA COLORADO MANAGEMENT INC,ROLLINGSTONE RANCH GOLF CLUB & FISH CREEK GRILL,03-09019,Hotel & Restaurant / Optional (city,2000 GOLF COURSE ROAD,Steamboat Springs,CO,80488,40.467788,-106.826003
CHIPOTLE MEXICAN GRILL INC,CHIPOTLE MEXICAN GRILL,24-71530-0034,Hotel & Restaurant (city,8797 WADSWORTH BLVD,Westminster,CO,800030907,39.85596599,-105.082457971
Q D PROPERTIES INC,BRADLEY THE,26-43435-0000,Bed & Breakfast Permit,2040 16TH STREET,Boulder,CO,80302,40.01978898,-105.274708991
B & D LLC,SPORTS STATION BAR & GRILL,03-16640,Tavern (city,850 NORTH DAYTON STREET,Aurora,CO,80010,39.73002248,-104.874952559
SKY AND CLOUD LLC,EIN PROSIT FINE BEERS AND SAUSAGES,03-18408,Hotel & Restaurant (city,82 EAST BEAVER CREEK BOULDVARD SUITE M107,Avon,CO,81620,39.634714,-106.520666995
ANDIS WINES LLC,ANDIS WINES,03-20814,Winery Direct Shipper's Permit,11000 SHENADOAH ROAD,Plymouth,CA,95669,38.52179901,-120.817879988
CB & POTTS AT COLLINDALE GOLF COURSE,CB & POTTS AT COLLINDALE GOLF COURSE,03-13795,Takeout & Delivery Permit,1441 EAST HORSETOOTH ROAD,Fort Collins,CO,80525,40.53756299,-105.051006975
"CHEBA HUT INVESTMENT COMPANY, INC",CHEBA HUT DILLON,03-06996,Takeout & Delivery Permit,265 DILLON RIDGE ROAD UNIT D,Dillon,CO,80435,39.62977199,-106.059742033
ARAPAHOE SKI LODGE INC,ARAPAHOE SKI LODGE INC,04-70177-0000,Lodging & Entertainment (City,78594 HWY 40,Winter Park,CO,804829999,39.92226399,-105.786829025
CST METRO LLC,CIRCLE K #2744104,21-79919-0084,Fermented Malt Beverage and Wine (city,4701 S LEMAY,Fort Collins,CO,805219401,40.52207902,-105.058732994
"EL MEZCAL, INC",SOL DE JALISCO MEXICAN RESTAURANT,03-06783,Hotel & Restaurant (city,3748 - 3750 CLEVELAND AVENUE,Wellington,CO,80549,40.70418701,-105.005229965
COLORADO MUSIC FESTIVAL,R.M.C.M.A.,10-28907-0004,Arts License (city,200 E BASELINE ROAD,Lafayette,CO,800262404,39.99999001,-105.089089985
LA MORENA FAMILY RESTAURANT,LA MORENA FAMILY RESTAURANT,03-20385,Hotel & Restaurant (city,13800 EAST MISSISSIPPI AVENUE,Aurora,CO,80012,39.69630691,-104.827883227
ARAMARK SPORTS AND ENTERTAINMENT SERVICES LLC,ARAMARK,03-11436,Hotel & Restaurant / Optional (city,1801 BRYANT STREET SUITE 200,Denver,CO,80204,39.74490623,-105.018477464
"APRO, LLC",ROCKET #6545,04-00407,Fermented Malt Beverage and Wine (city,19965 EAST SMOKY HILL ROAD,Centennial,CO,80015,39.61277663,-104.755528292
REAL HOSPITALITY GROUP LLC,ALOFT BROOMFIELD DENVER,03-10582,Lodging & Entertainment (City,8300 ARISTA PLACE,Broomfield,CO,80021,39.90546301,-105.089977041
DILLON COMPANIES LLC,KING SOOPERS DIV 82,01-10779-0048,Fermented Malt Beverage and Wine (city,17171 SOUTH GOLDEN ROAD,Golden,CO,804012857,39.73941902,-105.192932964
JHAND INC & 7-ELEVEN INC,7-ELEVEN STORE 32159C,42-35722-0000,Fermented Malt Beverage and Wine (city,623 GARDEN OF THE GODS ROAD,Colorado Springs,CO,80907,38.896074,-104.835246981
SUCCESS FOODS MANAGEMENT GROUP LLC,TORCHY'S TACOS,03-05308,Hotel & Restaurant (city,1085 BROADWAY,Denver,CO,80203,39.73348999,-104.987813963
,SIAM,15-46069-0000,Takeout & Delivery Permit,200 S DAVIS STREET,Telluride,CO,81435,37.937842,-107.817677999
OLD CHICAGO TAPROOM II LLC,OLD CHICAGO #1,03-13573,Hotel & Restaurant (city,7115 COMMERCE CENTER DRIVE,Colorado Springs,CO,80919,38.93505802,-104.81401101
SUNCOR ENERGY SALES INC.,EXXON #183,04-00802,Fermented Malt Beverage and Wine (city,5195 WEST 120TH AVENUE,Broomfield,CO,80020,39.91458701,-105.052379009
VEGAS VALLEY WINERY,VEGAS VALLEY WINERY,03-14754,Winery Direct Shipper's Permit,7360 EASTGATE ROAD #123,Henderson,NV,89011,36.05471699,-115.016438996
CCC'S ARMSTRONG LLC,ARMSTRONG HOTEL / ACE GILLETTE'S,03-08582,Hotel & Restaurant (city,259 SOUTH COLLEGE AVENUE,Fort Collins,CO,80524,40.58451099,-105.077525976
JASK INC &7-ELEVEN INC,7-ELEVEN STORE 24438A,42-61358-0000,Fermented Malt Beverage and Wine (city,995 NORTH CIRCLE DRIVE,Colorado Springs,CO,80909,38.846747,-104.775331041
,CROSSCUT PIZZERIA AND TAPHOUSE,03-05185,Takeout & Delivery Permit,4 EAST 1ST STREET,Nederland,CO,80466,39.96171602,-105.51020996
BASE CAMP PROVISIONS LLC,BASE CAMP PROVISIONS,03-17135,Brew Pub (city,155 NORTH MULBERRY STREET,Fruita,CO,81521,39.16013102,-108.732735984
ARAMARK ENTERTAINMENT LLC,DENVER COLISEUM,28-51170-0000,Hotel & Restaurant (city,4600 HUMBOLDT STREET,Denver,CO,802162819,39.77913101,-104.971137999
BRIAN CARTER CELLARS LLC,BRIAN CARTER CELLARS,03-08650,Winery Direct Shipper's Permit,14419 WOODINVILLE REDMOND ROAD NORTHEAST,Woodinville,WA,98072,47.73174998,-122.141428013
"CORTEZ ELKS LODGE 1789, INC.",CORTEZ ELKS 1789,13-01298-0002,Tavern (city,2100 N DOLORES RD,Cortez,CO,81321,37.37152198,-108.552978024
RCI DINING SERVICES (CENTRAL CITY INC,RICK'S CABARET STEAKHOUSE AND CASINO,03-20712,Retail Gaming Tavern (city,130 MAIN STREET,Central City,CO,80427,39.79966701,-105.512372994
BREAKING DADS DISTILLERS LLC,DRY LAND DISTILLERS,03-09602,Sidewalk Service Area,519 MAIN STREET,Longmont,CO,80501,40.16816799,-105.102916018
WHOLE FOODS MARKET ROCKY MOUNTAIN/SOUTHWEST LP,WHOLE FOODS MARKET,04-00883,Fermented Malt Beverage and Wine (city,444 SOUTH WADSWORTH BOULEVARD,Lakewood,CO,80226,39.70864599,-105.080774969
BROTHERS BBQ INC,BROTHERS BBQ,07-50360-0000,Fermented Malt Beverage On (city,6499 LEETSDALE DR,Denver,CO,80224,39.703392,-104.913204967
STUBBY'S WP LLC,BLACKBIRD,42-99047-0000,Hotel & Restaurant (city,305 S DOWNING ST,Denver,CO,80209,39.710798,-104.97373597
ALTBIER OPERATIONS LLC,ALTBIER OPERATIONS LLC,03-12591,Winery Direct Shipper's Permit,499 Moore Lane,Healdsburg,CA,95448,38.61297002,-122.87653098
BACONLUV LLC,BLACKBELLY MARKET,03-03342,Takeout & Delivery Permit,1606 CONESTOGA STREET #3,Boulder,CO,80301,40.01502002,-105.227269011
RENAISSANCE WINE & SPIRITS LLC,RENAISSANCE WINE & SPIRITS,03-15127,Delivery Permit,1425 SOUTH AIRPORT ROAD SUITE 104,Longmont,CO,80503,40.14183599,-105.150547021
CITY OF LA JUNTA,LA JUNTA GOLF COURSE,03-10108,Hotel & Restaurant (county,27696 HARRIS ROAD,La Junta,CO,81050,38.03576352,-103.512392184
"DLB RESTAURANT CO., LLC",EL PARAISO ORIGINAL,03-00043,Hotel & Restaurant (city,4690 HARLAN ST,Lakeside,CO,80212,39.78163699,-105.062186003
MB HOSPITALITY (RIBROOM LP,RESIDENCE INN DENVER BROOMFIELD AND FAIRFIELD INN & SUITES DENVER/BROOMFIELD,03-08549,Lodging & Entertainment (City,455 ZANG STREET,Broomfield,CO,80021,39.92563402,-105.13343503
BOOTS & CATS INC,THE BEACON,03-14497,Tavern (city,2854 LARIMER STREET,Denver,CO,80205,39.76098901,-104.981832972
MEASON CONCEPTS INC,JIMANO'S,03-12052,Beer & Wine (city,"2950 SOUTH BROADWAY, UNIT G",Englewood,CO,80113,39.663231,-104.987063028
P P ASSOC OF THE CITY & COUNTY OF DENVER,P P ASSOCIATION OF THE CITY & COUNTY OF DENVER,01-67303-0000,Club License (city,2105 DECATUR ST,Denver,CO,80211,39.749081,-105.022673041
ERRATIC OAKS VINEYARD INC,CITATION WINE,12-85718-0000,Winery Direct Shipper's Permit,375 1ST PLACE NW,Issaquah,WA,98027,47.533401,-122.037684024
CENTER TABLE RESTAURANT GROUP LLC,JOHN'S TABLE KITCHEN & BAR,03-20808,Hotel & Restaurant (city,1700 DOGWOOD ST,Louisville,CO,80027,39.96542002,-105.116856967
WING & TONG INC,MASA HIBACHI,42-60105-0000,Hotel & Restaurant (city,2400 E HARMONY RD STE 102,Fort Collins,CO,805283425,40.52373302,-105.033161987
"SASSY SOMM SISTAS, LLC",ADVENTURES DECANTED,03-14865,Hotel & Restaurant (city,37 COOPER CREEK WAY SUITE 315,Winter Park,CO,80482,39.91771098,-105.784725
SCHNOX CORPORATION,RIFF RAFF BREWING COMPANY,03-09664,Brew Pub (city,"356 EAST PAGOSA STREET, UNIT A",Pagosa Springs,CO,81147,37.27004702,-106.998148983
YARDS SANTA FE LLC,SMOKIN YARD'S BBQ,03-07817,Hotel & Restaurant (city,900 WEST 1ST AVENUE #100,Denver,CO,80223,39.717543,-104.998860976
KINSALE PROPERTIES INC,RODEWAY INN,03-64969-0000,Hotel & Restaurant (city,1409 BARLOW ROAD,Fort Morgan,CO,807014357,40.26431001,-103.774085969
HILL ESTATES INC,HILL FAMILY ESTATE,03-01441,Winery Direct Shipper's Permit,5055 SOLANO AVENUE,Napa,CA,94558,38.35382999,-122.335173023
DELICATO VINEYARDS LLC,FRANCIS COPPOLA WINERY,03-17601,Winery Direct Shipper's Permit,300 VIA ARCHIMEDES,Geyserville,CA,954419325,38.67953398,-122.887914024
TWP LLC,TWP LLC,03-13674,Limited Winery,3334  F  ROAD,Clifton,CO,81520,39.09429498,-108.43445104
ARAMARK SPORTS & ENTERTAINMENT SERVICES LLC,COORS FIELD,15-58603-0000,Hotel & Restaurant (city,2001 BLAKE STREET,Denver,CO,802052008,39.75611698,-104.994117992
"LARUE WINES, INC",LARUE WINES,03-12633,Winery Direct Shipper's Permit,64 BONNEAU ROAD,Sonoma,CA,95476,38.23572025,-122.463012607
XGOLF GJ LLC,X-GOLF GRAND JUNCTION,03-13714,Lodging & Entertainment (City,2482 PATTERSON ROAD #2,Grand Junction,CO,81505,39.09237498,-108.592779994
COLORADO EXTREME LLC,1 UP COLFAX THE,03-00266,Tavern (city,717 E COLFAX AVENUE,Denver,CO,80203,39.74035498,-104.978381975
Black Forest Diversified Services LLC,FIREHOUSE ON THE RUN 2,03-13445,Takeout & Delivery Permit,12480 BLACK FOREST ROAD,Colorado Springs,CO,80908,39.01265102,-104.701170979
KARMA KITCHEN  INC,KARMA KITCHEN,03-11803,Hotel & Restaurant (city,229 EAST ASPEN AVENUE,Fruita,CO,81521,39.15916002,-108.731572995
MMT LAPAGAVA LLC,MOVIE TAVERN,03-11292,Hotel & Restaurant (city,18605 EAST HAMPDEN AVENUE UNIT 138,Aurora,CO,80013,39.65487038,-104.770216404
POWDER KEG INC,KEMO SABE,03-04765,Tavern (city,217 SOUTH GALENA STREET,Aspen,CO,81611,39.18918555,-106.818646335
DHC DENVER BROADWAY LLC,DAVE'S HOT CHICKEN,03-14674,Beer & Wine (city,99 SOUTH BROADWAY SUITE 119,Denver,CO,80209,39.71500999,-104.988089979
"STINKER STORES CO, INC","STINKER STORES CO, INC #307",04-00909,Fermented Malt Beverage and Wine (city,299 BLUE RIVER PARKWAY,Silverthorne,CO,80498,39.630183,-106.073610981
PAMELA HILL INC,FACIAL AESTHETICS,03-19858,Retail Establishment Permit,602 CENTER DRIVE SUITE E,Superior,CO,80027,39.95758268,-105.17288724
TRASHHAWK TAVERN LLC,TRASHHAWK TAVERN,03-15303,Tavern (city,1539 SOUTH BROADWAY,Denver,CO,80210,39.68866802,-104.987837013
THE DEAN WEST LLC,DEAN WEST LLC,03-11815,Hotel & Restaurant (city,207 CENTRAL AVENUE,Kremmling,CO,80459,40.06026302,-106.393029972
VILLAGRAN RESTAURANTE LLC,VILLAGRAN RESTAURANTE,03-04535,Hotel & Restaurant (city,1512 WEST ALAMEDA AVENUE,Denver,CO,80223,39.71087202,-105.009037026
,PIONEER THE,42-61015-0000,Takeout & Delivery Permit,2401 SOUTH UNIVERSITY BOULEVARD,Denver,CO,802105407,39.67279198,-104.959765014
HIGH COUNTRY BEVERAGE CORP,HIGH COUNTRY BEVERAGE CORP,04-00051,Fermented Malt Beverage Wholesale,2530 HIGH COUNTRY COURT,Grand Junction,CO,81501,39.07482902,-108.584440001
THE BOARD OF GOVERNORS OF THE CSU SYSTEM,"TERRA, VIDA, AND HYDRO BUILDINGS - SPUR CAMPUS",03-18682,Campus Liquor Complex (City,4817 NATIONAL WESTERN DRIVE / 4817 PACKING HOUSE ROAD,Denver,CO,80216,39.78421798,-104.973037003
